,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths
18113,47451.0,20463.0,18090.0,3461.0,1112.0,26063.0,4985.0,7103.0,12008.0,6510.0,1634.0,6067.0,973.0,625.0,1746.0,437.0,981.0,790.0,3756.0,42529.0,112.0
18117,19547.0,9216.0,7881.0,3106.0,391.0,23317.0,2259.0,3631.0,4533.0,4175.0,761.0,906.0,32.0,302.0,1661.0,154.0,590.0,292.0,1679.0,18435.0,39.0
18119,20878.0,10147.0,8695.0,3322.0,552.0,24129.0,2215.0,3833.0,4464.0,3697.0,643.0,781.0,66.0,99.0,2213.0,233.0,305.0,179.0,2369.0,15191.0,45.0
18125,12411.0,5779.0,5129.0,1392.0,252.0,26584.0,1119.0,2429.0,2799.0,2179.0,252.0,434.0,11.0,100.0,848.0,32.0,201.0,244.0,446.0,9383.0,21.0
18127,168041.0,68228.0,63969.0,16786.0,3927.0,32943.0,7858.0,25992.0,37794.0,18098.0,5573.0,27551.0,971.0,3579.0,3136.0,841.0,2318.0,3968.0,10505.0,147320.0,334.0
18129,25589.0,11480.0,10175.0,2546.0,547.0,30572.0,1204.0,4460.0,5692.0,3174.0,565.0,1019.0,0.0,241.0,885.0,65.0,391.0,278.0,1140.0,20458.0,56.0
18131,12660.0,6092.0,5200.0,1713.0,338.0,24695.0,1040.0,2350.0,2896.0,2204.0,385.0,698.0,0.0,69.0,803.0,84.0,154.0,145.0,966.0,10461.0,33.0
18135,25076.0,11698.0,10477.0,3899.0,598.0,23539.0,2286.0,4851.0,5834.0,4207.0,938.0,1648.0,192.0,328.0,713.0,97.0,480.0,381.0,2729.0,20190.0,96.0
18137,28425.0,12323.0,11165.0,3234.0,814.0,27423.0,2047.0,4824.0,6753.0,3704.0,903.0,1279.0,128.0,871.0,923.0,376.0,603.0,503.0,2048.0,27228.0,84.0
18139,16704.0,7493.0,6725.0,2807.0,395.0,24900.0,1770.0,2927.0,3789.0,2329.0,550.0,698.0,57.0,229.0,267.0,47.0,366.0,207.0,1994.0,12096.0,47.0
18141,269240.0,116385.0,101241.0,40492.0,7222.0,27338.0,20253.0,40544.0,64196.0,36356.0,10012.0,72508.0,3578.0,12961.0,1972.0,1753.0,7793.0,12243.0,24177.0,270297.0,576.0
18143,23743.0,10580.0,9004.0,3644.0,570.0,22688.0,2627.0,3854.0,5464.0,4236.0,694.0,1054.0,32.0,311.0,1844.0,106.0,514.0,384.0,2088.0,21629.0,63.0
18145,44399.0,19271.0,17725.0,4884.0,967.0,28491.0,3679.0,7212.0,10170.0,5820.0,1539.0,3388.0,356.0,782.0,677.0,324.0,717.0,723.0,3083.0,40212.0,90.0
18147,20526.0,9062.0,8109.0,1893.0,423.0,29999.0,1423.0,3809.0,4580.0,3079.0,411.0,1031.0,73.0,170.0,1004.0,78.0,330.0,290.0,1041.0,16671.0,44.0
18149,22941.0,11109.0,8735.0,3232.0,732.0,23282.0,2515.0,3983.0,5384.0,3562.0,572.0,1286.0,141.0,200.0,950.0,162.0,374.0,60.0,1487.0,16725.0,80.0
18151,34474.0,19894.0,14156.0,3613.0,680.0,28429.0,2340.0,6485.0,7178.0,4998.0,1089.0,2085.0,317.0,832.0,2421.0,152.0,668.0,1336.0,2998.0,30771.0,73.0
18155,10628.0,5265.0,4297.0,2112.0,264.0,23347.0,1213.0,1863.0,2683.0,1784.0,390.0,471.0,37.0,107.0,1044.0,170.0,184.0,106.0,1201.0,7353.0,23.0
18159,15218.0,6999.0,6295.0,1211.0,248.0,30026.0,1267.0,3020.0,3131.0,2523.0,382.0,746.0,78.0,41.0,703.0,79.0,145.0,229.0,911.0,11053.0,37.0
18161,7153.0,3252.0,2846.0,617.0,94.0,24040.0,573.0,1298.0,1562.0,1134.0,195.0,315.0,36.0,97.0,419.0,40.0,131.0,65.0,610.0,5009.0,19.0
18165,15560.0,7499.0,6616.0,2324.0,349.0,25143.0,1065.0,2982.0,3410.0,2894.0,694.0,535.0,35.0,320.0,655.0,191.0,319.0,228.0,1071.0,13108.0,47.0
18169,31631.0,14188.0,12875.0,3773.0,671.0,25228.0,2539.0,6312.0,6661.0,4351.0,1038.0,1742.0,102.0,403.0,681.0,158.0,712.0,1902.0,2367.0,30066.0,84.0
18171,8247.0,3732.0,3384.0,842.0,158.0,29408.0,497.0,1626.0,1813.0,1359.0,298.0,312.0,17.0,21.0,182.0,61.0,85.0,86.0,358.0,5903.0,13.0
18173,61928.0,25662.0,24267.0,4639.0,1072.0,35915.0,2967.0,10313.0,14999.0,7376.0,1782.0,4610.0,247.0,1264.0,1317.0,416.0,798.0,794.0,3363.0,44795.0,163.0
18175,27827.0,12351.0,10721.0,3601.0,787.0,24048.0,2967.0,4589.0,6409.0,5103.0,1010.0,889.0,24.0,90.0,2366.0,151.0,727.0,282.0,2631.0,19913.0,73.0
18177,66613.0,31338.0,26611.0,10422.0,1847.0,25460.0,6050.0,12367.0,14736.0,11780.0,2996.0,7754.0,489.0,2015.0,1334.0,333.0,2437.0,2698.0,7815.0,67928.0,238.0
18179,27947.0,11843.0,10874.0,2584.0,334.0,27106.0,1675.0,4947.0,6957.0,3608.0,831.0,1497.0,105.0,481.0,797.0,41.0,485.0,570.0,1861.0,24995.0,68.0
18181,24217.0,13095.0,9745.0,2069.0,508.0,27621.0,1897.0,4657.0,5685.0,3998.0,684.0,2534.0,438.0,110.0,1623.0,140.0,337.0,301.0,2228.0,20136.0,74.0
18183,33649.0,14672.0,13548.0,3046.0,508.0,30144.0,1699.0,5774.0,7819.0,4941.0,1090.0,1511.0,26.0,390.0,741.0,85.0,384.0,441.0,2057.0,29030.0,65.0
