,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,Deaths
18027,33277.0,12565.0,11354.0,7846.0,534.0,2233.0,4962.0,8378.0,5120.0,9758.0,4676.0,556.0,527.0,3482.0,503.0,1005.0,645.0,1795.0,586.0,29266.0,8950.0,571.0,1777.0,76.0,0.0,8.0,945.0,105.0,76.0
18029,49612.0,20596.0,19279.0,7353.0,884.0,3942.0,3361.0,2452.0,8676.0,11170.0,6696.0,1169.0,94.0,1910.0,1049.0,704.0,170.0,787.0,565.0,39345.0,5183.0,333.0,667.0,275.0,32.0,34.0,546.0,23.0,105.0
18031,26587.0,11436.0,10241.0,4488.0,548.0,1876.0,1489.0,1545.0,4452.0,6379.0,3207.0,291.0,23.0,1428.0,635.0,521.0,85.0,432.0,393.0,26849.0,3607.0,39.0,550.0,492.0,0.0,0.0,260.0,87.0,61.0
18033,43193.0,18162.0,16904.0,7136.0,822.0,2856.0,2624.0,3050.0,6941.0,10473.0,5454.0,989.0,106.0,2180.0,764.0,1583.0,193.0,832.0,448.0,43960.0,5944.0,165.0,1240.0,152.0,19.0,0.0,604.0,0.0,94.0
18035,114461.0,52677.0,46632.0,33369.0,3586.0,12134.0,6956.0,8490.0,19584.0,20904.0,19776.0,3422.0,330.0,15453.0,3982.0,2416.0,710.0,3608.0,7532.0,114839.0,14739.0,7651.0,2873.0,1595.0,94.0,56.0,3050.0,134.0,346.0
18037,42534.0,17936.0,16691.0,6047.0,496.0,2954.0,3065.0,1809.0,7364.0,10363.0,5246.0,741.0,453.0,4263.0,912.0,674.0,172.0,782.0,1019.0,50517.0,4615.0,230.0,3380.0,308.0,1.0,0.0,307.0,37.0,108.0
18039,205184.0,79389.0,72362.0,42597.0,4518.0,15879.0,24605.0,30412.0,29989.0,56611.0,25082.0,5660.0,5048.0,52723.0,6638.0,5528.0,1841.0,5967.0,3621.0,235624.0,28507.0,10798.0,33339.0,1892.0,327.0,76.0,5854.0,437.0,412.0
18041,23068.0,10818.0,9686.0,6695.0,471.0,2357.0,2670.0,1861.0,4610.0,5079.0,4349.0,774.0,149.0,1359.0,531.0,664.0,135.0,636.0,440.0,20809.0,4032.0,577.0,297.0,10.0,44.0,0.0,428.0,3.0,86.0
18043,77879.0,33011.0,29264.0,12169.0,1645.0,5589.0,4862.0,3643.0,12540.0,17594.0,10560.0,1999.0,259.0,9722.0,2382.0,672.0,108.0,1712.0,1416.0,73268.0,11644.0,3987.0,2664.0,869.0,183.0,0.0,2007.0,12.0,199.0
18045,16456.0,7937.0,6982.0,3337.0,427.0,1387.0,1305.0,1655.0,3259.0,3606.0,3148.0,377.0,102.0,803.0,91.0,824.0,59.0,326.0,144.0,13247.0,2050.0,65.0,427.0,86.0,15.0,0.0,210.0,0.0,64.0
